date,symbol,pred,pred_score,volatility,volatility_short,macd_diff,bba,Close,Volume,EarningsPerShareBasic,strategy
2020-12-23,AFIB,0,0.3455227708228728,0.02908622807815283,0.06956330797158965,0.015326063802381773,4.205129724515054,31.12,176800.0,-32.24,MACD
2020-12-23,KOP,0,0.3264706484353895,0.02726034000270767,0.024711371295274842,0.010216879827095182,2.9171568350067503,29.52,165853.0,1.39,MACD
2020-12-23,PRGX,0,0.3442269792566514,0.027187985713681754,0.039906428413912315,-0.019527934021687288,0.9126204026620872,7.36,67707.0,-0.15,Breakout
2020-12-23,PRGX,0,0.3431770855134596,0.027187985713681754,0.039906428413912315,-0.019527934021687288,0.9126204026620872,7.36,67707.0,-0.15,Bollinger
2020-12-23,STKS,0,0.39701486357481786,0.026303656324728426,0.04870357455340367,-0.010026626110596501,0.3603109767974093,3.36,237076.0,-0.26,Breakout
2020-12-23,STKS,0,0.39244987992675334,0.026303656324728426,0.04870357455340367,-0.010026626110596501,0.3603109767974093,3.36,237076.0,-0.26,Bollinger
2020-12-23,INTT,0,0.4300650661229009,0.025929345668942158,0.02367454331496703,0.037170604835140744,0.9648606116953538,5.81,65882.0,-0.1,Bollinger
2020-12-23,VRTV,0,0.357438781580871,0.025861820913686634,0.0248061454894772,0.12522037169148664,3.0440045992096714,21.17,90148.0,-1.18,Breakout
2020-12-23,DDS,0,0.3682985183702322,0.024776964278432095,0.03335167433086468,0.1281046802472794,8.092519755933296,55.33,299001.0,-0.37,MACD
2020-12-23,ESCA,0,0.3640260748268237,0.02438605373278372,0.01829214413472896,0.2936855939332278,4.34637085467984,22.38,37883.0,0.62,Breakout
2020-12-23,BYFC,0,0.4473270608111612,0.02323699208656988,0.035679493579658425,0.013921292417346808,0.2337862271425717,1.91,333039.0,0.01,MACD
2020-12-23,SGC,0,0.33817136130671804,0.023047005179447425,0.03846003738919294,0.19669597940423306,2.8700794414091746,24.42,71884.0,1.23,Bollinger
2020-12-23,SBT,0,0.4029025926791368,0.0211533630515774,0.01333957856432055,0.008409244694910945,0.8048353868924072,4.5,29550.0,,Breakout
2020-12-23,XENT,0,0.34932219172293505,0.020466446703679496,0.026273171553799584,0.008809130727009062,4.261295108298668,22.87,143075.0,-0.71,MACD
2020-12-23,SSTI,0,0.3811881052859853,0.020397104607678043,0.007396823492280337,0.6355685059058034,9.151966783156311,39.54,37964.0,0.08,Breakout
2020-12-23,FBMS,0,0.3510407551898123,0.02012782228828855,0.04617351245187203,-0.13365163392551438,3.062231212692808,30.84,144623.0,1.26,Bollinger
2020-12-23,PFBC,0,0.38209484863746196,0.019460542062048558,0.02535352634654521,0.31710234757084654,15.510782185278572,48.99,60529.0,,Breakout
2020-12-23,FLL,0,0.4014346310126848,0.01938010780296574,0.018723810775567278,-0.009060862183978585,0.5180386085997748,3.8,228859.0,-0.25,Breakout
2020-12-23,EXTR,0,0.3380421312278341,0.019143955516198952,0.005440587996232583,0.03493413536683676,1.9107474977136967,7.05,844354.0,-1.06,MACD
2020-12-23,SONA,0,0.33352499429303606,0.018432274835432725,0.023239297323315526,0.01022664983759608,1.2552354360822022,12.14,117831.0,0.19,MACD
2020-12-23,OPRT,0,0.3350532426881383,0.01682298809550343,0.02616183245062055,0.028111417696062957,2.6943466740568525,19.74,55622.0,-1.26,Bollinger
2020-12-23,CNR,0,0.3472646306589281,0.01666515638885021,0.01616444082108881,0.049721217989950856,1.4389107000464918,9.9,323916.0,-4.09,Breakout
2020-12-23,ELF,0,0.37615392494515126,0.016182248421994304,0.024065987303666353,0.12500415546288246,2.4090587373504633,23.69,504037.0,0.03,MACD
2020-12-23,KINS,0,0.4249348988790138,0.016132296762758146,0.018237332119826935,0.03160663017139518,0.9210532015054582,6.65,35054.0,0.43,MACD
2020-12-23,BPFH,0,0.35472235326664403,0.015847456321968444,0.035746300486229565,0.0002424739712079682,1.1298212247908097,8.4,479331.0,-0.03,MACD
2020-12-23,BPFH,0,0.35472235326664403,0.015847456321968444,0.035746300486229565,0.0002424739712079682,1.1298212247908097,8.4,479331.0,-0.03,Bollinger
2020-12-23,FFNW,0,0.4014839476480707,0.015738421445106118,0.017024666924411208,0.006883645982625891,0.8903501953682387,11.55,6873.0,0.22,MACD
2020-12-23,FFNW,0,0.4010948421149533,0.015738421445106118,0.017024666924411208,0.006883645982625891,0.8903501953682387,11.55,6873.0,0.22,Bollinger
2020-12-23,PROV,0,0.4071977294260918,0.015180067091750933,0.03370721589648945,0.05636040685217225,1.768977105559948,15.99,12915.0,1.03,Bollinger
2020-12-23,MBWM,0,0.34326151242298875,0.014753265265647617,0.028377239111224646,0.002027503217808535,3.0516837804060657,27.55,49867.0,1.19,MACD
2020-12-23,MBWM,0,0.34326151242298875,0.014753265265647617,0.028377239111224646,0.002027503217808535,3.0516837804060657,27.55,49867.0,1.19,Breakout
2020-12-23,MBWM,0,0.34326151242298875,0.014753265265647617,0.028377239111224646,0.002027503217808535,3.0516837804060657,27.55,49867.0,1.19,Bollinger
2020-12-23,FFWM,0,0.3326226008632392,0.014742313699229159,0.017662566102739856,-0.040335968107948705,2.3754502731060327,20.03,77648.0,0.7,Breakout
2020-12-23,DHIL,0,0.36047011949761787,0.012684483363921674,0.008260343117728506,0.11954169041360307,16.837892861052865,153.1,9702.0,3.79,MACD
2020-12-23,HSII,0,0.3506999873437388,0.010426715395450613,0.016688744625499418,2.6883387972631567e-05,3.6190048355846116,29.48,95078.0,-1.33,MACD
2020-12-23,CVLY,0,0.4012368338359732,0.009422620872874782,0.012492567840073524,-0.09104481061858416,0.43924935970508017,17.24,8270.0,0.01,Bollinger
